date,AED,AFN,ALL,AMD,ANG,AOA,ARS,AUD,AWG,AZN,BAM,BBD,BDT,BGN,BHD,BIF,BMD,BND,BOB,BRL,BSD,BTC,BTN,BWP,BYN,BZD,CAD,CDF,CHF,CLF,CLP,CNH,CNY,COP,CRC,CUC,CUP,CVE,CZK,DJF,DKK,DOP,DZD,EGP,ERN,ETB,EUR,FJD,FKP,GBP,GEL,GGP,GHS,GIP,GMD,GNF,GTQ,GYD,HKD,HNL,HRK,HTG,HUF,IDR,ILS,IMP,INR,IQD,IRR,ISK,JEP,JMD,JOD,JPY,KES,KGS,KHR,KMF,KPW,KRW,KWD,KYD,KZT,LAK,LBP,LKR,LRD,LSL,LYD,MAD,MDL,MGA,MKD,MMK,MNT,MOP,MRO,MRU,MUR,MVR,MWK,MXN,MYR,MZN,NAD,NGN,NIO,NOK,NPR,NZD,OMR,PAB,PEN,PGK,PHP,PKR,PLN,PYG,QAR,RON,RSD,RUB,RWF,SAR,SBD,SCR,SDG,SEK,SGD,SHP,SLL,SOS,SRD,SSP,STD,STN,SVC,SYP,SZL,THB,TJS,TMT,TND,TOP,TRY,TTD,TWD,TZS,UAH,UGX,USD,UYU,UZS,VEF,VND,VUV,WST,XAF,XAG,XAU,XCD,XDR,XOF,XPD,XPF,XPT,YER,ZAR,ZMW,ZWL
2018-09-06,3.673181,73.941,108.790773,484.954805,1.844815,280.4755,37.413,1.390766,1.792495,1.7025,1.681794,2,83.791475,1.68201,0.37717,1770.446384,1,1.510877,6.9092460000000004,4.059192,1,1.54053728e-4,71.882936,10.987511,2.120224,2.00982,1.315494,1641.791881,0.96544,0.02338,686.6,6.842076,6.836,3099.162567,574.967132,1,25.5,94.825,22.13945,178.05,6.417009,50.032241,118.127643,17.8845,14.9972,27.655004,0.860604,2.1214,0.773701,0.773701,2.44699,0.773701,4.735441,0.773701,48.035,9045.082123,7.604158,208.781506,7.84955,24.003095,6.395879,69.104182,280.58395,14418.794083,3.581755,0.773701,71.9491,1193.103344,43165.26868,110.839875,0.773701,136.541424,0.709503,110.49,100.75,68.137481,4074.553052,426.091764,900,1125.8,0.302918,0.833236,373.84147,8518.998212,1512.790598,161.639674,154.249966,15.34303,1.384185,9.425619,16.736494,3379.633723,52.976784,1548.301386,2442.166667,8.084198,357,35.95,34.3535,15.459996,727.267089,19.2366,4.1465,60.215,15.03702,359.459715,31.931109,8.424055,115.01034,1.519399,0.38502,1,3.32202,3.323971,54.002971,123.113991,3.71995,5834.908269,3.641519,3.991971,101.755196,69.1793,880.701188,3.75015,7.88911,13.610541,17.99825,9.113737,1.375138,0.773701,8390,578.449266,7.458,130.2634,21050.59961,21.18,8.749479,515.01999,15.349,32.785,9.42446,3.504979,2.772094,2.310538,6.59302,6.73926,30.7845,2287.203564,28.236993,3774.611076,1,32.832202,7826.387275,248471.708907,23115.292672,108.499605,2.588533,564.519452,0.07051952,8.3251e-4,2.70255,0.713746,564.519452,0.00102253,102.697417,0.00126025,250.349279,15.329565,10.304073,322.355011
2018-09-05,3.673181,73.9485,109.033095,484.926502,1.844935,280.4755,38.621,1.389789,1.792495,1.7025,1.686988,2,83.810446,1.68324,0.377155,1770.641299,1,1.510665,6.934803,4.144581,1,1.45129666e-4,71.653882,11.038439,2.11962,2.009958,1.317505,1629.958511,0.97111,0.02338,686.69667,6.8472,6.830806,3080.555321,576.967535,1,25.5,95.1165,22.124,178.05,6.407895,49.761154,118.047556,17.9085,15.000767,27.653495,0.859509,2.136354,0.774322,0.774322,2.44699,0.774322,4.736496,0.774322,48.035,9048.877335,7.605349,208.965138,7.84885,24.041934,6.387259,69.004664,281.596,14427.471583,3.6005,0.774322,71.755801,1193.151249,43165.92868,109.340014,0.774322,136.364779,0.709503,111.45,100.75,68.137481,4088.819585,426.091764,900,1119.06,0.3029,0.833319,371.253115,8522.019416,1512.978819,162.21,154.249966,15.501728,1.383287,9.419125,16.700158,3385.154939,52.929726,1542.958496,2442.166667,8.084544,357,35.95,34.45003,15.459996,727.164198,19.3521,4.153,60.085,15.142819,361.515885,31.934901,8.4012,114.649511,1.515416,0.385,1,3.316463,3.324191,53.661024,123.178534,3.718717,5826.789971,3.640961,3.985769,101.504446,68.1904,880.746152,3.751,7.88911,13.610442,18.000554,9.050182,1.375299,0.774322,8390,578.511158,7.458,130.2634,21050.59961,21.18,8.75018,515.02999,15.501605,32.77,9.415633,3.504979,2.765997,2.310538,6.575038,6.739905,30.759887,2286.898089,28.406475,3785.136519,1,32.464549,7827.599901,248471.708907,23115.440172,108.499605,2.588533,563.800921,0.07042267,8.353e-4,2.70255,0.714433,563.800921,0.00102441,102.566702,0.00127149,250.349279,15.41559,10.300671,322.355011
2018-09-04,3.673181,73.76,109.115,483.728663,1.845941,278.809,38.981,1.39183,1.792495,1.7025,1.69255,2,83.942606,1.690445,0.377137,1771.434296,1,1.510936,6.913533,4.1565,1,1.35825324e-4,71.561694,10.957656,2.107248,2.011001,1.31755,1642.293969,0.973923,0.02338,692.1,6.850459,6.843866,3046.698553,577.260194,1,25.5,95.4305,22.21695,178.05,6.433413,50.04155,118.244208,17.9065,14.997033,27.656969,0.863017,2.125502,0.777736,0.777736,2.484042,0.777736,4.752774,0.777736,48.035,9050.442704,7.593772,209.324785,7.85005,24.067968,6.413598,69.106966,282.83688,14428.419083,3.616775,0.777736,71.586043,1193.84823,43164.78868,109.429884,0.777736,137.600698,0.709503,111.46667857,100.74508,68.137481,4090.911035,426.091764,900,1122.25,0.302895,0.833755,368.779702,8524.791713,1513.773864,161.929242,154.249966,15.22527,1.382249,9.4402,16.665375,3374.148022,53.15,1541.752962,2442.166667,8.088727,357,35.95,34.479848,15.459996,727.31354,19.38276,4.137961,60.005,14.415,359.676086,31.951591,8.392783,114.49499,1.526622,0.385001,1,3.315468,3.326582,53.620741,123.180434,3.720625,5829.31745,3.641599,3.997384,101.89075,68.1688,881.08,3.7512,7.88911,13.610107,18.008643,9.081663,1.375533,0.777736,8390,578.790042,7.458,130.2634,21050.59961,21.18,8.754594,515.00999,15.212126,32.8,9.426751,3.504979,2.767493,2.310538,6.66158,6.743558,30.727819,2287.303423,28.479365,3768.858655,1,32.464549,7830.9,248471.708907,23117.692672,108.499605,2.588533,566.102219,0.07056679,8.388e-4,2.70255,0.71478,566.102219,0.00101882,102.985354,0.00128375,250.349279,15.332395,10.355017,322.355011
2018-09-03,3.673181,73.652,108.925,483.527154,1.845069,276.727,38.0735,1.387386,1.792495,1.7025,1.638927,2,83.998097,1.68246,0.377143,1770.382411,1,1.510691,6.959427,4.156288,1,1.37702378e-4,71.071012,10.806002,2.095092,2.010137,1.309535,1641.563817,0.96937,0.02338,683.3,6.8371,6.8231,3052.178213,573.70111,1,25.5,95.0065,22.16074,178.05,6.418443,50.021965,118.03,17.9475,15.000233,27.642012,0.860993,2.11869,0.777115,0.777115,2.478267,0.777115,4.79025,0.777115,48.035,9045.941261,7.590442,209.681671,7.84965,24.057324,6.399546,69.076109,281.27,14401.569083,3.61342,0.777115,71.155,1193.299953,43164.425347,108.410069,0.777115,137.54,0.709503,111.08594118,100.7,68.137481,4088.225167,426.091764,900,1114.55,0.302703,0.833356,365.849727,8520.840295,1521.75,161.821254,154.249966,14.821302,1.381587,9.4365,16.760344,3358.678762,53.019493,1544.641906,2442.166667,8.086154,357,35.95,34.450022,15.459996,727.2,19.199761,4.128991,60.005,14.685868,359.52,31.936409,8.357428,113.714816,1.51381,0.385002,1,3.306523,3.324514,53.51457,123.11,3.69635,5834.726389,3.641061,3.989397,101.66471,67.9438,880.448532,3.7504,7.88911,13.610141,18.000804,9.095735,1.371844,0.777115,8390,578.5349,7.458,130.2634,21050.59961,21.18,8.75008,514.99999,14.814452,32.70775,9.415672,3.504979,2.784311,2.310538,6.639446,6.750145,30.739,2287,28.41668,3767.155226,1,32.213818,7827.599901,248471.708907,23112.815172,108.499605,2.588533,564.774557,0.06900658,8.3275e-4,2.70255,0.713142,564.774557,0.00101795,102.743826,0.00126824,250.349279,14.864986,10.285089,322.355011
2018-09-02,3.67296,73.4825,108.503866,482.915414,1.845847,276.2875,36.9115,1.391047,1.792495,1.7025,1.656421,2,83.843014,1.685025,0.377138,1771.091778,1,1.510944,6.938064,4.055175,1,1.37183555e-4,70.949974,10.757998,2.085752,2.010947,1.306342,1642.181123,0.969645,0.02338,679.614723,6.851146,6.8357,3049.994075,572.154399,1,25.5,94.5465,22.201291,178.05,6.427585,50.041451,117.984979,17.8295,15.007133,27.64459,0.862199,2.110652,0.773893,0.773893,2.479592,0.773893,4.802993,0.773893,48.035,9049.579803,7.563506,210.045745,7.84917,24.016446,6.408277,69.042165,281.38,14383.859083,3.60904,0.773893,71.005039,1193.793187,43193.095347,107.699844,0.773893,136.580012,0.709505,111.14372766,100.672805,68.137481,4093.290948,426.091764,900,1115.81,0.30275,0.833693,363.783869,8521.807802,1514.00585,161.64505,154.249966,14.700964,1.378752,9.435534,16.763485,3336.551263,53.043368,1518.196041,2442.166667,8.088022,357,35.95,34.349156,15.459996,727.31854,19.112786,4.117,59.915,14.605569,362.167604,31.949515,8.394444,113.520796,1.513547,0.384932,1,3.305168,3.29912,53.523163,123.079062,3.709361,5851.449587,3.641411,3.982223,101.918116,67.594,880.861282,3.75065,7.88911,13.609652,18.07448,9.151461,1.372543,0.773893,8390,578.75178,7.458,130.2634,21050.59961,21.18,8.753777,515.52999,14.707691,32.77525,9.42761,3.504979,2.761405,2.310538,6.583674,6.742895,30.684133,2287.376405,28.259854,3764.104986,1,32.10328,7830.834431,248471.708907,23126.750172,108.499605,2.588533,565.565457,0.06884007,8.3388e-4,2.70255,0.713142,565.565457,0.00101887,102.887707,0.00126985,250.349279,14.725284,10.31453,322.355011
2018-09-01,3.673175,73.4825,108.99,482.915414,1.845847,276.2165,36.842,1.390047,1.792495,1.7025,1.677196,2,83.843139,1.685345,0.377138,1771.091778,1,1.510944,6.910951,4.055308,1,1.39013631e-4,70.949974,10.747955,2.085752,2.010947,1.304751,1642.181123,0.968985,0.02338,681.6,6.8457,6.8302,3044.005883,572.154399,1,25.5,94.5465,22.203947,178.05,6.425498,50.085,117.981224,17.7975,14.9965,27.64459,0.8612,2.110652,0.771545,0.771545,2.478217,0.771545,4.7455,0.771545,48.035,9049.579803,7.563506,210.2347,7.84945,24.016446,6.4106,69.042165,281.54,14376.016583,3.607625,0.771545,71.005052,1193.793187,43163.27868,107.650208,0.771545,136.580012,0.709506,111.03955251,100.68,68.137481,4093.290948,426.091764,900,1113.7,0.302721,0.833693,363.782619,8521.807802,1515.15,161.5701,154.249966,14.618602,1.378752,9.435534,16.760344,3336.551263,53.05,1534.332732,2442.166667,8.088022,357,35.95,34.3455,15.459996,727.31854,19.0845,4.117007,59.915,14.415,362.17,31.949515,8.3873,113.520796,1.51125,0.384915,1,3.30515,3.314782,53.4675,122.99,3.708725,5851.449587,3.640999,3.999293,101.920145,67.516,880.861282,3.7503,7.88911,13.609587,18.074459,9.147479,1.372119,0.771545,8390,578.75178,7.458,130.2634,21050.59961,21.18,8.753777,514.97999,14.645416,32.7165,9.42761,3.504979,2.761405,2.310538,6.545173,6.742907,30.687,2287.358006,28.26,3764.104986,1,32.213818,7830.834431,248471.708907,23114.337672,108.499605,2.588533,564.910168,0.06879011,8.3256e-4,2.70255,0.713142,564.910168,0.00101796,102.768496,0.0012703,250.349279,14.68696,10.31453,322.355011
2018-08-31,3.673175,73.4825,108.99,482.915414,1.845847,276.2165,36.842,1.3906,1.792495,1.7025,1.677196,2,83.843139,1.685345,0.377138,1771.091778,1,1.510944,6.910951,4.0551,1,1.4242388e-4,70.949974,10.747955,2.085752,2.010947,1.30475,1642.181123,0.968101,0.02338,681.6,6.8457,6.8302,3044.005883,572.154399,1,25.5,94.5465,22.2039,178.05,6.4255,50.085,117.981224,17.7975,14.9965,27.64459,0.8612,2.110652,0.771545,0.771545,2.478217,0.771545,4.7455,0.771545,48.035,9049.579803,7.563506,210.2347,7.84945,24.016446,6.4106,69.042165,281.52,14376.016583,3.607625,0.771545,70.87,1193.793187,43163.27868,107.650208,0.771545,136.580012,0.709506,111.03955251,100.68,68.137481,4093.290948,426.091764,900,1113.7,0.302721,0.833693,363.782619,8521.807802,1515.15,161.5701,154.249966,14.618602,1.378752,9.435534,16.760344,3336.551263,53.05,1534.332732,2442.166667,8.088022,357,35.95,34.3455,15.459996,727.31854,19.084528,4.117007,59.915,14.415,362.17,31.949515,8.3872,113.520796,1.51125,0.384915,1,3.30515,3.314782,53.417378,122.99,3.708649,5851.449587,3.640999,3.999293,101.920145,67.516,880.861282,3.7503,7.88911,13.609587,18.074459,9.147479,1.3721,0.771545,8390,578.75178,7.458,130.2634,21050.59961,21.18,8.753777,514.97999,14.645416,32.71625,9.42761,3.504979,2.761405,2.310538,6.545173,6.742907,30.687,2287.358006,28.26,3764.104986,1,32.213818,7830.834431,248471.708907,23114.337672,108.499605,2.588533,564.910168,0.06879011,8.3256e-4,2.70255,0.713142,564.910168,0.00101796,102.768496,0.0012703,250.349279,14.687465,10.31453,322.355011
2018-08-30,3.673181,73.461,108.084518,482.817429,1.845255,276.2165,38.735,1.376993,1.792495,1.7025,1.672217,2,83.911125,1.675305,0.377228,1770.452308,1,1.510703,6.910951,4.149804,1,1.43111216e-4,70.786786,10.623491,2.081313,2.010261,1.298685,1641.762106,0.968773,0.02338,678.736946,6.866711,6.84455,3008.536165,570.074075,1,25.5,94.6635,22.0894,178.05,6.391457,50.010802,117.796606,17.8285,14.9964,27.633548,0.857209,2.110652,0.768492,0.768492,2.478967,0.768492,4.733232,0.768492,48.055,9048.110938,7.571204,209.877793,7.84935,24.007461,6.377902,69.002634,280.362843,14388.939083,3.609913,0.768492,71.064,1193.427951,43162.982013,107.230123,0.768492,136.79871,0.709503,111.0115,100.7,68.137481,4080.50462,426.091764,900,1116.42,0.302698,0.833446,363.685365,8517.113329,1513.175536,161.115,154.249966,14.343514,1.379633,9.4115,16.760344,3330.473355,52.789197,1530.191946,2442.166667,8.085143,357,35.95,34.299887,15.459996,727.210641,19.107625,4.115903,59.785,14.425,362.048398,31.939398,8.347195,113.260617,1.504147,0.385005,1,3.308954,3.313671,53.46307,123.031545,3.68678,5832.346875,3.640999,3.984613,101.32733,68.2365,880.491169,3.751,7.88911,13.609575,18.002937,9.118929,1.36745,0.768492,8390,578.576153,7.458,130.2634,21050.59961,21.18,8.75156,514.97499,14.343487,32.775,9.421301,3.504979,2.747105,2.310538,6.736237,6.740964,30.69602,2281.98108,28.252013,3763.023035,1,32.012834,7828.433316,248471.708907,23111.465172,108.499605,2.588533,562.292534,0.06868499,8.3335e-4,2.70255,0.712914,562.292534,0.00103015,102.292296,0.00126503,250.349279,14.703471,10.176087,322.355011
2018-08-29,3.673181,73.493,108.007486,482.431322,1.846294,271.3125,34.000371,1.367811,1.792495,1.7025,1.678105,2,83.86052,1.66981,0.37712,1771.349496,1,1.510942,6.903626,4.107,1,1.42200954e-4,70.626901,10.673547,2.077417,2.011385,1.290505,1642.666766,0.97054,0.02338,666.129581,6.815957,6.8203,2977.246285,569.38947,1,25.5,94.6605,21.977363,178.05,6.368586,49.973961,117.640498,17.886,14.9971,27.64352,0.854,2.102658,0.767118,0.767118,2.479542,0.767118,4.753628,0.767118,48.025,9054.638179,7.550212,209.131667,7.84865,24.004939,6.352,67.508345,278.111,14349.956583,3.608905,0.767118,70.606008,1193.946615,43164.95868,106.670177,0.767118,136.748985,0.709503,111.691,100.74,68.137481,4083.076671,426.091764,900,1109.47,0.302606,0.833857,363.781825,8521.385271,1514.056913,161.39,154.249966,14.409537,1.383046,9.381146,16.760344,3327.294119,52.59,1548.453584,2442.166667,8.089904,357,35.95,34.299887,15.459996,727.30854,18.9408,4.1266,59.785,14.425,361.748974,31.951786,8.3305,113.001164,1.489911,0.384956,1,3.2956,3.315361,53.383158,123.102707,3.66145,5835.59238,3.641519,3.9585,101.01733,67.9448,880.932589,3.7502,7.88911,13.608465,18.012221,9.132832,1.364275,0.767118,8390,578.903969,7.458,130.2634,21050.59961,21.18,8.756078,515.00999,14.4095,32.69,9.431263,3.504979,2.743904,2.310538,6.47416,6.74098,30.624063,2285.29886,28.139707,3770.120211,1,31.946502,7832.704522,248471.708907,23111.785172,108.499605,2.588533,560.187544,0.06772327,8.2837e-4,2.70255,0.713459,560.187544,0.00103577,101.909356,0.00125393,250.349279,14.350025,10.182066,322.355011
2018-08-28,3.673181,73.534,107.535239,482.581838,1.845095,272.383,31.472137,1.361538,1.792495,1.7025,1.672147,2,83.802875,1.67082,0.377167,1770.298938,1,1.510746,6.899621,4.135489,1,1.41164744e-4,70.146511,10.577516,2.061847,2.010071,1.292857,1641.802194,0.9766,0.02338,661.486598,6.803684,6.8043,2943.616379,569.033009,1,25.5,94.7505,21.976601,178.05,6.376773,49.944802,117.649538,17.9003,14.9967,27.62056,0.855204,2.099997,0.777048,0.777048,2.477742,0.777048,4.805799,0.777048,48.025,9049.779803,7.535437,208.969966,7.85065,23.986314,6.358632,67.482844,277.039347,14362.926583,3.62907,0.777048,70.26433,1193.338922,43163.882013,106.820095,0.777048,136.737638,0.709503,111.152,100.749,68.137481,4079.548375,426.091764,900,1107.8,0.302648,0.833403,361.932038,8518.564314,1513.175536,160.64,154.249966,14.185914,1.382238,9.3942,16.760344,3330.181961,52.660236,1540.696883,2442.166667,8.086397,357,35.95,34.347,15.459996,727.210641,19.06116,4.105513,59.685,14.262276,362.056983,31.93158,8.341463,112.236077,1.489436,0.385009,1,3.293648,3.31431,53.351829,123.084283,3.65218,5805.767619,3.641502,3.970483,101.325481,67.8191,880.356136,3.75045,7.88911,13.589967,18.003018,9.133305,1.363884,0.777048,8390,578.504703,7.458,130.2634,21050.59961,21.18,8.750627,514.98999,14.185977,32.604167,9.416782,3.504979,2.745708,2.310538,6.267119,6.737214,30.599881,2282.969534,27.991805,3765.245506,1,31.799323,7828.458316,248471.708907,23110.215172,108.499605,2.588533,560.976799,0.06777383,8.3139e-4,2.70255,0.712843,560.976799,0.00105849,102.052938,0.00126184,250.349279,14.208843,10.275733,322.355011
2018-08-27,3.673181,73.118,108.055384,481.794943,1.844252,273.9095,30.954,1.360747,1.792495,1.7025,1.683855,2,83.761121,1.6746,0.377216,1769.348943,1,1.510739,6.888584,4.0789,1,1.44921131e-4,70.117116,10.645522,2.058403,2.009233,1.296322,1640.810215,0.979432,0.02338,659.2,6.793706,6.8146,2938.731589,568.695431,1,25.5,94.8475,21.99887,178.05,6.383026,49.907276,117.870936,17.8965,14.997733,27.602866,0.855858,2.099598,0.775358,0.775358,2.477892,0.775358,4.791048,0.775358,48.025,9043.89706,7.526995,208.970288,7.84975,23.9646,6.3664,67.451468,277.262104,14334.424083,3.63315,0.775358,69.955,1192.708662,43166.75868,106.670177,0.775358,137.101151,0.709503,111.1369,100.799743,68.137481,4075.210295,426.091764,900,1109.15,0.302909,0.833062,360.723873,8513.801367,1512.351002,160.833335,154.249966,14.333184,1.381494,9.4006,16.760344,3324.644312,52.716617,1529.341679,2442.166667,8.081886,357,35.95,34.329862,15.459996,727.187114,18.802129,4.097523,59.55,14.360456,361.352177,31.901599,8.323692,112.186037,1.491847,0.385035,1,3.288109,3.31188,53.294962,123.051981,3.655372,5799.206295,3.640586,3.973611,101.170072,67.4708,879.811119,3.7501,7.88911,13.591017,17.992755,9.091803,1.362149,0.775358,8390,578.304203,7.458,130.2634,21050.59961,21.18,8.747298,515.04499,14.333116,32.52,9.410815,3.504979,2.740086,2.310538,6.1623,6.731155,30.688,2282.99479,27.911648,3753.499586,1,31.926099,7800.716278,248471.708907,23110.785172,108.499605,2.588533,561.405883,0.06712097,8.2575e-4,2.70255,0.713912,561.405883,0.00105101,102.130997,0.00124302,250.349279,14.165007,10.250523,322.355011
2018-08-26,3.673003,72.693588,108.125341,480.783842,1.838147,269.5075,30.790516,1.361936,1.792495,1.7025,1.682421,2,83.466634,1.682703,0.377255,1767.240402,1,1.364083,6.883957,4.104274,1,1.49031158e-4,69.682443,10.59746,2.04592,2.002558,1.301025,1625.689337,0.982326,0.02338,660.8,6.7849,6.8016,2970.44792,566.232377,1,25.5,95.44975,22.119,178.05,6.405378,49.789113,118.316423,17.8465,14.996667,27.552695,0.85873,2.115852,0.777705,0.777705,2.478992,0.777705,4.752472,0.777705,48,9026.987252,7.496602,208.105857,7.84995,23.912372,6.398887,67.221298,277.98,14338.644083,3.62825,0.777705,69.774467,1189.100902,43163.762013,107.340083,0.777705,136.649587,0.709503,111.2935,100.75,68.137481,4062.684162,426.091764,900,1112.29,0.303033,0.830201,359.369429,8489.933014,1507.868127,160.348815,154.249966,14.229531,1.388436,9.441222,16.691168,3304.868514,52.974818,1539.110192,2442.166667,8.054918,357,35.95,34.179975,15.459996,721.59437,18.784276,4.0915,59.642544,14.299341,360.58,31.79688,8.323205,111.485999,1.4924789999999999,0.384946,1,3.291646,3.307501,53.283602,122.07557,3.67255,5780.846539,3.638269,3.989527,101.633278,67.162,874.409194,3.75075,7.88911,13.590012,17.999065,9.106598,1.364386,0.777705,8390,576.813658,7.458,130.2634,21050.59961,21.18,8.715572,514.98999,14.24053,32.5635,9.384667,3.504979,2.741489,2.310538,5.98461,6.713633,30.674927,2274.4,27.735057,3738.829228,1,31.807319,7779.46146,248471.708907,23111.665172,108.499605,2.588533,563.29014,0.06728582,8.2813e-4,2.70255,0.714461,563.29014,0.00106186,102.473781,0.00126025,250.349279,14.244864,10.137798,322.355011
2018-08-25,3.673175,72.650485,108.131677,480.783842,1.838144,269.5075,30.8125,1.364808,1.792495,1.7025,1.682421,2,83.466634,1.68286,0.377258,1762.800503,1,1.51085,6.883957,4.1053,1,1.48324284e-4,69.682443,10.59746,2.04592,2.002558,1.303441,1616,0.983265,0.02338,660.75,6.804583,6.8062,2974.156664,566.23,1,25.5,95.4495,22.16,178.05,6.418087,49.789113,118.318029,17.8545,14.9963,27.495737,0.86,2.113753,0.77845,0.77845,2.478942,0.77845,4.71809,0.77845,48.025,9012.45,7.496602,208.105857,7.85025,23.882965,6.399073,67.221298,278.37,14338.876583,3.627005,0.77845,69.775,1188.751127,43162.73868,107.56005,0.77845,136.649587,0.709503,111.235,100.75,68.137481,4059.355202,426.091764,900,1114.39,0.303042,0.830201,359.369429,8484.666267,1507.085159,160.348815,154.249966,14.214062,1.388045,9.4415,16.645,3306.071285,52.974848,1539.110192,2442.166667,8.054918,357,35.95,34.179975,15.459996,727.262089,18.9144,4.0915,59.750906,14.216181,360.58,31.79688,8.330557,111.485999,1.49655,0.384948,1,3.291541,3.301002,53.329068,122.07557,3.68175,5780.85,3.62725,3.989706,101.64,67.093,876.755,3.7508,7.88911,13.59002,17.998832,9.1266,1.365001,0.77845,8390,576.356097,7.458,130.2634,21050.59961,21.18,8.715572,514.96999,14.216825,32.582,9.384667,3.504979,2.738111,2.310538,6.012685,6.713633,30.675,2287.7,27.735057,3738.829228,1,31.915907,7774.326825,248471.708907,23111.237672,108.499605,2.588533,564.12302,0.06748626,8.2914e-4,2.70255,0.714461,564.12302,0.00106726,102.625298,0.00126612,250.349279,14.208992,10.137595,322.355011
2018-08-24,3.673175,72.650485,108.131677,480.783842,1.838144,269.5075,30.8125,1.364808,1.792495,1.7025,1.682421,2,83.466634,1.68286,0.377258,1762.800503,1,1.51085,6.883957,4.1053,1,1.49479023e-4,69.682443,10.59746,2.04592,2.002558,1.303441,1616,0.983265,0.02338,660.75,6.804583,6.8062,2974.156664,566.23,1,25.5,95.4495,22.16,178.05,6.418087,49.789113,118.318029,17.8545,14.9963,27.495737,0.86,2.113753,0.77845,0.77845,2.478942,0.77845,4.71809,0.77845,48.025,9012.45,7.496602,208.105857,7.85025,23.882965,6.399073,67.221298,278.37,14338.876583,3.627005,0.77845,69.775,1188.751127,43162.73868,107.56005,0.77845,136.649587,0.709503,111.235,100.75,68.137481,4059.355202,426.091764,900,1114.39,0.303042,0.830201,359.369429,8484.666267,1507.085159,160.348815,154.249966,14.214062,1.388045,9.4415,16.645,3306.071285,52.974848,1539.110192,2442.166667,8.054918,357,35.95,34.179975,15.459996,727.262089,18.9144,4.0915,59.750906,14.216181,360.58,31.79688,8.330557,111.485999,1.49655,0.384948,1,3.291541,3.301002,53.329068,122.07557,3.68175,5780.85,3.62725,3.989706,101.64,67.093,876.755,3.7508,7.88911,13.59002,17.998832,9.1266,1.365001,0.77845,8390,576.356097,7.458,130.2634,21050.59961,21.18,8.715572,514.96999,14.216825,32.582,9.384667,3.504979,2.738111,2.310538,6.012685,6.713633,30.675,2287.7,27.735057,3738.829228,1,31.915907,7774.326825,248471.708907,23111.237672,108.499605,2.588533,564.12302,0.06748626,8.2914e-4,2.70255,0.714461,564.12302,0.00106726,102.625298,0.00126612,250.349279,14.208992,10.137595,322.355011
2018-08-23,3.673181,72.655625,108.761413,483.675191,1.846848,268.984,30.465,1.380529,1.792495,1.7025,1.689348,2,83.886147,1.694715,0.377197,1777.010032,1,1.51087,6.915225,4.1155,1,1.53222582e-4,70.173769,10.625635,2.045511,2.011984,1.310041,1627.307651,0.98627,0.02338,669.441521,6.89195,6.8779,2972.620705,568.732297,1,25.5,95.9,22.2915,178.05,6.46305,49.928527,118.36,17.868,14.997067,27.654083,0.866382,2.113752,0.780661,0.780661,2.479042,0.780661,4.840829,0.780661,48.105,9053.000434,7.51597,208.511657,7.84985,24.021063,6.4444,69.428605,281.11,14361.196583,3.64736,0.780661,70.2849,1193.048335,43164.915347,108.289904,0.780661,137.063534,0.709503,111.37,100.91,68.137481,4075.227894,426.949754,900,1127,0.303106,0.834219,361.487383,8521.770484,1512.726242,160.859113,154.24983,14.337641,1.390649,9.4754,16.691795,3315.765356,53.355,1523.89781,2442.166667,8.093551,356.5,35.96,34.401,15.450044,727.266118,19.0185,4.1045,59.524376,14.33754,362.678855,31.944006,8.386998,112.271402,1.5093,0.385011,1,3.293488,3.319894,53.49453,123.126735,3.71725,5799.262797,3.640999,4.017511,102.330347,68.2341,874.82286,3.75015,7.88911,13.590433,18.067176,9.14277,1.374,0.780661,8390,578.840778,7.458,130.2634,21050.59961,21.25,8.758698,515.00999,14.318186,32.86,9.434276,3.50998,2.763612,2.310538,6.096445,6.746205,30.820961,2287.214057,27.876236,3751.671566,1,31.854891,7811.050551,248471.708907,23107.017672,108.499605,2.588533,568.309522,0.06894195,8.4417e-4,2.70255,0.714283,568.309522,0.00108779,103.386907,0.00128867,250.350747,14.403135,10.109659,322.355011
